ID	Mean_Control	Mean_Patient	Mean_Change	LogFC	Pvalue	FDR
336	6.7488	6.6229	-0.1259	-0.1259	0.009	0.19
337	7.2697	7.1727	-0.097	-0.097	0.082	0.29
338	6.4972	6.4542	-0.043	-0.043	0.31	0.54
339	6.337	6.2768	-0.0602	-0.0602	0.036	0.22
341	6.5775	6.6493	0.0719	0.0719	0.59	0.77
342	6.7745	6.7236	-0.051	-0.051	0.37	0.6
343	7.2194	7.0697	-0.1497	-0.1497	0.051	0.24
344	6.7907	6.7279	-0.0628	-0.0628	0.22	0.45
345	6.7345	6.6104	-0.1241	-0.1241	0.029	0.21
346	8.2549	7.9338	-0.3211	-0.3211	0.02	0.2
347	10.03	9.9292	-0.1009	-0.1009	0.61	0.78
348	7.3988	7.2974	-0.1014	-0.1014	0.099	0.31
350	6.0268	6.0363	0.0095	0.0095	0.77	0.88
351	9.0695	8.8296	-0.2399	-0.2399	0.18	0.41
353	7.5698	7.4785	-0.0914	-0.0914	0.16	0.39
354	6.7978	6.7459	-0.0519	-0.0519	0.21	0.44
355	6.577	6.6574	0.0804	0.0804	0.37	0.6
356	6.4484	6.3848	-0.0636	-0.0636	0.15	0.38
357	6.8126	6.7592	-0.0534	-0.0534	0.16	0.39
358	8.3366	8.1904	-0.1462	-0.1462	0.37	0.6
359	7.1178	7.0486	-0.0692	-0.0692	0.28	0.52
360	7.4687	7.3184	-0.1503	-0.1503	0.056	0.25
361	8.7104	8.4744	-0.236	-0.236	0.6	0.77
362	7.1495	7.077	-0.0724	-0.0724	0.3	0.53
363	7.1553	7.0394	-0.1158	-0.1158	0.051	0.24
364	7.6051	7.3646	-0.2405	-0.2405	0.11	0.32
366	6.2039	6.1603	-0.0436	-0.0436	0.35	0.58
367	7.7591	7.6705	-0.0886	-0.0886	0.64	0.8
368	6.9436	6.897	-0.0466	-0.0466	0.34	0.57
369	8.6025	8.5786	-0.0239	-0.0239	0.79	0.89
372	7.9097	8.1459	0.2362	0.2362	0.056	0.25
373	7.2489	7.4383	0.1894	0.1894	0.089	0.3
374	8.6778	8.2402	-0.4376	-0.4376	0.041	0.23
375	9.1822	8.9933	-0.1889	-0.1889	0.017	0.2
377	7.3916	7.4219	0.0303	0.0303	0.67	0.82
378	8.0588	8.3874	0.3286	0.3286	0.019	0.2
379	6.6063	6.6035	-0.0028	-0.0028	0.96	0.98
381	7.9383	7.888	-0.0503	-0.0503	0.23	0.46
382	7.5378	7.5919	0.0541	0.0541	0.34	0.58
383	6.0716	6.0581	-0.0135	-0.0135	0.69	0.83
384	7.608	7.5946	-0.0134	-0.0134	0.96	0.98
387	9.8645	9.8437	-0.0208	-0.0208	0.86	0.93
388	8.8359	8.5347	-0.3013	-0.3013	0.11	0.32
389	7.8478	7.7987	-0.0491	-0.0491	0.54	0.74
390	7.1008	7.361	0.2601	0.2601	0.35	0.58
391	7.2505	7.288	0.0375	0.0375	0.5	0.7
392	7.5057	7.5408	0.0351	0.0351	0.66	0.81
393	7.6519	7.4971	-0.1549	-0.1549	0.025	0.21
394	7.5205	7.6287	0.1082	0.1082	0.24	0.48
395	6.7206	6.87	0.1494	0.1494	0.059	0.25
396	7.4434	7.4826	0.0392	0.0392	0.53	0.73
397	6.9048	6.9492	0.0443	0.0443	0.68	0.83
398	7.199	7.1334	-0.0656	-0.0656	0.15	0.38
399	6.3562	6.3402	-0.0161	-0.0161	0.53	0.72
400	8.1172	8.2024	0.0851	0.0851	0.42	0.64
401	7.0497	6.9774	-0.0723	-0.0723	0.2	0.44
402	8.8744	8.8945	0.02	0.02	0.87	0.93
403	7.0092	7.1691	0.1599	0.1599	0.041	0.23
