ID	Mean_Control	Mean_Patient	Mean_Change	LogFC	Pvalue	FDR
57126	7.0019	6.8691	-0.1328	-0.1328	0.011	0.19
57127	7.0137	6.9256	-0.0881	-0.0881	0.08	0.28
57128	6.6045	6.752	0.1474	0.1474	0.017	0.2
57129	7.7076	8.1188	0.4112	0.4112	0.0039	0.18
57130	7.1569	7.2027	0.0458	0.0458	0.5	0.7
57132	8.6885	8.6405	-0.048	-0.048	0.84	0.92
57134	7.2025	7.0908	-0.1117	-0.1117	0.037	0.22
57136	6.924	7.0457	0.1217	0.1217	0.2	0.43
57139	6.9244	6.8723	-0.052	-0.052	0.089	0.3
57140	7.747	7.7461	-9e-04	-9e-04	0.99	0.99
57142	8.905	9.0891	0.1841	0.1841	0.1	0.31
57143	6.8437	6.8559	0.0122	0.0122	0.73	0.86
57144	6.3332	6.3287	-0.0045	-0.0045	0.87	0.94
57146	8.8594	8.6229	-0.2365	-0.2365	0.5	0.71
57147	6.8265	6.9952	0.1687	0.1687	0.03	0.22
57148	7.6705	7.9306	0.2601	0.2601	0.017	0.2
57149	7.204	7.3524	0.1484	0.1484	0.032	0.22
57150	7.0421	7.0955	0.0535	0.0535	0.28	0.52
57151	6.1155	6.1446	0.0291	0.0291	0.47	0.68
57152	6.9465	6.8924	-0.0541	-0.0541	0.24	0.48
57153	9.0401	8.9779	-0.0622	-0.0622	0.46	0.67
57154	6.9438	7.0781	0.1343	0.1343	0.096	0.31
57156	6.5956	6.622	0.0264	0.0264	0.72	0.85
57157	8.2088	8.605	0.3962	0.3962	0.13	0.36
57158	8.4941	8.1672	-0.327	-0.327	0.037	0.22
57159	8.9098	8.906	-0.0038	-0.0038	0.98	0.99
57161	6.8593	6.8217	-0.0375	-0.0375	0.38	0.61
57162	6.8599	7.1194	0.2595	0.2595	0.045	0.24
57165	7.3817	7.1912	-0.1905	-0.1905	0.0089	0.19
57167	6.7615	6.6354	-0.1261	-0.1261	0.0078	0.19
57168	6.825	6.8152	-0.0098	-0.0098	0.85	0.93
57169	7.1904	7.2803	0.0899	0.0899	0.44	0.65
57171	6.747	6.7691	0.0221	0.0221	0.6	0.77
57172	6.5706	6.5423	-0.0284	-0.0284	0.51	0.71
57175	7.5489	7.4195	-0.1295	-0.1295	0.067	0.27
57178	7.3533	7.3767	0.0234	0.0234	0.74	0.86
57179	7.5679	7.6492	0.0813	0.0813	0.27	0.5
57180	8.2246	8.0777	-0.1469	-0.1469	0.099	0.31
57181	6.6852	6.8486	0.1633	0.1633	0.13	0.35
57182	6.5184	6.6519	0.1335	0.1335	0.077	0.28
57184	6.9432	6.9759	0.0327	0.0327	0.33	0.56
57185	6.8609	6.8921	0.0313	0.0313	0.45	0.66
57186	7.7311	7.8715	0.1405	0.1405	0.38	0.61
57187	7.0631	7.219	0.1559	0.1559	0.097	0.31
57188	6.9757	6.8073	-0.1685	-0.1685	0.11	0.32
57189	6.862	6.8938	0.0318	0.0318	0.46	0.67
57190	8.1814	8.1293	-0.0521	-0.0521	0.3	0.54
57191	6.434	6.4454	0.0114	0.0114	0.91	0.96
57192	7.5785	7.6047	0.0261	0.0261	0.58	0.76
57194	6.793	6.7409	-0.0521	-0.0521	0.2	0.43
57198	6.9275	6.9272	-3e-04	-3e-04	1	1
57205	6.3619	6.4573	0.0954	0.0954	0.15	0.38
57209	6.3962	6.5105	0.1143	0.1143	0.13	0.35
57210	6.5456	6.5716	0.026	0.026	0.47	0.68
57211	6.2617	6.2922	0.0304	0.0304	0.38	0.61
57212	7.1616	7.1321	-0.0295	-0.0295	0.47	0.68
57213	8.6799	8.7016	0.0218	0.0218	0.85	0.92
57214	6.3677	6.327	-0.0407	-0.0407	0.09	0.3
57215	7.5321	7.6154	0.0832	0.0832	0.078	0.28
57216	6.8195	6.7588	-0.0607	-0.0607	0.055	0.25
57217	6.8068	6.7725	-0.0343	-0.0343	0.37	0.6
57221	6.8006	6.772	-0.0286	-0.0286	0.63	0.79
57222	8.4899	8.6556	0.1657	0.1657	0.21	0.45
57223	7.1954	7.4969	0.3015	0.3015	0.0043	0.18
57224	6.7015	6.6864	-0.0151	-0.0151	0.77	0.88
57226	6.8255	6.9003	0.0748	0.0748	0.15	0.38
57228	7.5155	7.392	-0.1235	-0.1235	0.073	0.27
57231	6.7015	7.0106	0.3092	0.3092	0.0041	0.18
57232	6.5429	6.5476	0.0047	0.0047	0.9	0.95
57282	6.1326	6.1073	-0.0253	-0.0253	0.36	0.59
57291	7.332	7.5256	0.1936	0.1936	0.1	0.31
57292	6.845	6.7904	-0.0546	-0.0546	0.34	0.57
57325	7.1259	7.3259	0.2	0.2	0.12	0.33
57326	8.3754	8.1201	-0.2553	-0.2553	0.0025	0.18
57332	7.0151	6.9166	-0.0985	-0.0985	0.13	0.35
57333	6.772	6.799	0.027	0.027	0.54	0.73
57335	7.2787	7.2416	-0.0371	-0.0371	0.6	0.77
57336	6.5764	6.6266	0.0502	0.0502	0.36	0.59
57337	6.6157	6.8205	0.2048	0.2048	0.028	0.21
57338	6.7148	6.755	0.0402	0.0402	0.21	0.45
57343	6.5712	6.6905	0.1193	0.1193	0.18	0.42
57348	7.2168	7.1169	-0.0999	-0.0999	0.058	0.25
57369	6.7877	6.7459	-0.0418	-0.0418	0.52	0.72
57379	6.3773	6.4142	0.0369	0.0369	0.42	0.64
57380	7.7102	7.9914	0.2812	0.2812	0.025	0.21
57381	7.425	7.3718	-0.0532	-0.0532	0.72	0.85
57393	5.8943	5.9352	0.0409	0.0409	0.21	0.45
57396	6.951	7.0376	0.0866	0.0866	0.41	0.63
57402	6.5998	6.5642	-0.0356	-0.0356	0.56	0.75
57403	7.4767	7.5768	0.1001	0.1001	0.11	0.33
57404	6.8067	6.9763	0.1696	0.1696	0.049	0.24
57405	5.9226	5.9339	0.0113	0.0113	0.68	0.82
57406	6.8941	7.0079	0.1138	0.1138	0.048	0.24
57407	6.9705	6.9317	-0.0387	-0.0387	0.41	0.63
57408	6.7841	6.6325	-0.1516	-0.1516	0.0073	0.18
57409	7.2368	7.2692	0.0323	0.0323	0.59	0.77
57410	8.1817	8.1298	-0.0518	-0.0518	0.45	0.67
57412	6.7658	6.9666	0.2008	0.2008	0.29	0.52
57414	7.5136	7.6069	0.0932	0.0932	0.084	0.29
57415	5.9149	5.8869	-0.028	-0.028	0.35	0.58
57418	7.4618	7.4355	-0.0263	-0.0263	0.65	0.8
57419	7.7354	7.6201	-0.1153	-0.1153	0.45	0.67
57446	6.9933	7.1102	0.1169	0.1169	0.22	0.46
57447	10.3171	10.049	-0.2681	-0.2681	0.15	0.38
57448	7.5569	7.8203	0.2633	0.2633	0.029	0.21
57449	7.2395	7.1508	-0.0887	-0.0887	0.094	0.3
57451	6.5564	6.5105	-0.046	-0.046	0.19	0.42
57452	7.029	6.9404	-0.0886	-0.0886	0.058	0.25
57453	6.7651	6.7209	-0.0442	-0.0442	0.18	0.41
57455	7.461	7.3484	-0.1126	-0.1126	0.036	0.22
57456	6.8143	6.9421	0.1277	0.1277	0.17	0.39
57458	7.7786	7.9005	0.1219	0.1219	0.27	0.5
57459	7.9632	8.049	0.0858	0.0858	0.29	0.52
57460	7.0241	7.0227	-0.0014	-0.0014	0.97	0.99
57461	6.8072	7.0114	0.2041	0.2041	0.0081	0.19
57462	7.6894	7.8539	0.1644	0.1644	0.42	0.64
57463	7.7671	7.6687	-0.0983	-0.0983	0.25	0.48
57464	7.6999	7.9397	0.2398	0.2398	0.13	0.35
57465	7.2192	7.1116	-0.1077	-0.1077	0.0067	0.18
57466	7.3863	7.4984	0.1121	0.1121	0.13	0.35
57467	8.54	8.5296	-0.0104	-0.0104	0.94	0.97
57468	6.6263	6.5914	-0.0348	-0.0348	0.3	0.53
57469	6.7884	6.735	-0.0534	-0.0534	0.25	0.49
57470	8.4665	8.5211	0.0546	0.0546	0.36	0.59
57471	5.9739	5.9455	-0.0284	-0.0284	0.36	0.59
57472	6.896	7.1521	0.2561	0.2561	0.0033	0.18
57473	7.5926	7.4462	-0.1465	-0.1465	0.0079	0.19
57474	6.6392	6.6989	0.0596	0.0596	0.37	0.59
57475	6.7207	6.7194	-0.0013	-0.0013	0.98	0.99
57476	6.9215	6.9774	0.0559	0.0559	0.64	0.8
57477	6.7039	6.6888	-0.0151	-0.0151	0.78	0.89
57478	7.2646	7.457	0.1924	0.1924	0.11	0.32
57479	7.5673	7.4511	-0.1162	-0.1162	0.15	0.38
57480	6.5006	6.5607	0.0601	0.0601	0.5	0.7
57481	6.1287	6.0907	-0.038	-0.038	0.22	0.46
57482	6.293	6.2544	-0.0386	-0.0386	0.17	0.4
57484	7.5818	7.5724	-0.0094	-0.0094	0.97	0.98
57486	7.3761	7.8077	0.4316	0.4316	0.0099	0.19
57488	8.18	8.4655	0.2855	0.2855	0.033	0.22
57489	6.0652	6.1361	0.0708	0.0708	0.12	0.33
57491	7.4287	7.2496	-0.1791	-0.1791	0.0093	0.19
57492	8.0684	8.0753	0.0069	0.0069	0.94	0.97
57493	7.5013	7.5476	0.0463	0.0463	0.71	0.84
57494	6.9858	7.1076	0.1219	0.1219	0.24	0.48
57495	6.4861	6.5022	0.0161	0.0161	0.61	0.78
57496	7.3819	7.4862	0.1042	0.1042	0.41	0.63
57497	6.3595	6.3104	-0.049	-0.049	0.2	0.43
57498	7.8687	8.1119	0.2432	0.2432	0.14	0.36
57501	6.7341	6.6641	-0.0699	-0.0699	0.058	0.25
57502	6.3773	6.4008	0.0235	0.0235	0.49	0.69
57504	7.0182	7.205	0.1868	0.1868	0.033	0.22
57505	6.9591	6.9161	-0.043	-0.043	0.26	0.5
57506	8.3683	8.1984	-0.1699	-0.1699	0.058	0.25
57507	7.1315	7.1539	0.0225	0.0225	0.8	0.89
57508	6.7758	6.9177	0.142	0.142	0.12	0.34
57509	8.1781	8.051	-0.1271	-0.1271	0.29	0.53
57510	6.9934	7.3058	0.3124	0.3124	0.015	0.2
57511	6.9854	7.2107	0.2253	0.2253	0.086	0.29
57512	6.1501	6.1453	-0.0048	-0.0048	0.85	0.93
57513	7.1127	7.0816	-0.0311	-0.0311	0.51	0.71
57514	6.8016	6.8789	0.0773	0.0773	0.36	0.59
57515	9.321	9.5045	0.1835	0.1835	0.14	0.36
57519	6.6549	6.6581	0.0032	0.0032	0.93	0.97
57520	6.5734	6.6189	0.0455	0.0455	0.4	0.62
57521	7.284	7.3255	0.0415	0.0415	0.56	0.75
57522	6.3071	6.3966	0.0895	0.0895	0.11	0.33
57523	6.6743	6.6342	-0.04	-0.04	0.39	0.62
57524	7.3164	7.1877	-0.1287	-0.1287	0.034	0.22
57526	6.4578	6.4274	-0.0304	-0.0304	0.38	0.61
57528	6.1932	6.189	-0.0041	-0.0041	0.92	0.96
57529	6.2574	6.2226	-0.0348	-0.0348	0.25	0.49
57530	6.6944	6.5961	-0.0983	-0.0983	0.0052	0.18
57531	6.619	6.7949	0.1759	0.1759	0.032	0.22
57532	7.5788	7.7262	0.1474	0.1474	0.11	0.33
57533	8.1438	8.25	0.1063	0.1063	0.13	0.35
57534	7.229	7.494	0.265	0.265	0.053	0.25
57535	6.4969	6.4722	-0.0246	-0.0246	0.35	0.58
57536	6.359	6.4086	0.0496	0.0496	0.19	0.42
57537	7.0348	6.9496	-0.0852	-0.0852	0.032	0.22
57538	8.6408	8.5099	-0.1309	-0.1309	0.51	0.71
57539	6.2263	6.3769	0.1506	0.1506	0.048	0.24
57540	6.9388	6.8365	-0.1022	-0.1022	0.025	0.21
57541	6.8661	6.8939	0.0278	0.0278	0.33	0.56
57542	6.9723	7.0492	0.0769	0.0769	0.24	0.48
57544	6.2639	6.3585	0.0946	0.0946	0.18	0.41
57545	6.2968	6.2813	-0.0155	-0.0155	0.73	0.85
57546	7.6482	7.5374	-0.1108	-0.1108	0.2	0.44
57547	6.6452	6.6633	0.0181	0.0181	0.62	0.78
57549	7.3622	7.2019	-0.1603	-0.1603	0.012	0.19
57551	7.6886	7.8229	0.1343	0.1343	0.11	0.33
57552	7.0441	7.1501	0.106	0.106	0.36	0.59
57553	7.0784	7.1127	0.0343	0.0343	0.54	0.73
57554	6.5438	6.514	-0.0298	-0.0298	0.65	0.8
57555	7.3628	7.2788	-0.0839	-0.0839	0.28	0.52
57556	6.7528	6.8032	0.0504	0.0504	0.57	0.76
57558	6.6351	6.6491	0.014	0.014	0.66	0.81
57559	6.2698	6.2901	0.0203	0.0203	0.6	0.77
57560	6.1518	6.2636	0.1118	0.1118	0.11	0.33
57561	8.1466	8.3126	0.166	0.166	0.45	0.67
57562	6.4518	6.435	-0.0168	-0.0168	0.74	0.86
57563	7.1341	7.5023	0.3681	0.3681	0.0054	0.18
57565	6.452	6.4204	-0.0316	-0.0316	0.26	0.49
57567	6.7384	6.7761	0.0377	0.0377	0.46	0.67
57568	7.3519	7.4697	0.1179	0.1179	0.48	0.69
57569	6.4333	6.5277	0.0944	0.0944	0.1	0.31
57570	7.0246	7.1217	0.0971	0.0971	0.31	0.54
57571	8.1094	7.8417	-0.2677	-0.2677	0.04	0.23
57572	7.0154	6.9796	-0.0358	-0.0358	0.38	0.61
57573	6.3557	6.4091	0.0534	0.0534	0.31	0.54
57574	6.7226	6.6531	-0.0696	-0.0696	0.094	0.3
57575	6.5294	6.4795	-0.0499	-0.0499	0.11	0.33
57576	7.2337	7.0833	-0.1504	-0.1504	0.015	0.2
57577	6.1635	6.1646	0.0011	0.0011	0.97	0.98
57578	6.1664	6.1966	0.0302	0.0302	0.35	0.58
57579	6.7838	6.9115	0.1277	0.1277	0.058	0.25
57580	7.0256	7.0572	0.0316	0.0316	0.6	0.77
57582	7.3442	7.2288	-0.1154	-0.1154	0.19	0.42
57583	7.2883	7.5565	0.2682	0.2682	0.0097	0.19
57584	7.5299	7.5982	0.0683	0.0683	0.49	0.7
57585	7.0261	7.0126	-0.0135	-0.0135	0.65	0.81
57586	6.7128	6.6871	-0.0257	-0.0257	0.46	0.67
57587	7.3024	7.3918	0.0893	0.0893	0.25	0.48
57589	6.9496	7.1466	0.197	0.197	0.19	0.42
57590	7.3527	7.5485	0.1959	0.1959	0.044	0.24
57591	7.3554	7.2876	-0.0679	-0.0679	0.081	0.29
57592	7.1989	7.2593	0.0604	0.0604	0.24	0.48
57593	7.5873	7.4413	-0.146	-0.146	0.081	0.29
57594	7.012	7.0346	0.0226	0.0226	0.66	0.81
57595	6.9015	6.8529	-0.0485	-0.0485	0.18	0.41
57596	6.6836	6.6072	-0.0764	-0.0764	0.016	0.2
57597	7.5306	7.3688	-0.1618	-0.1618	0.01	0.19
57599	7.1421	7.2866	0.1445	0.1445	0.14	0.37
57600	7.4052	7.7638	0.3586	0.3586	0.05	0.24
57602	7.177	7.2324	0.0554	0.0554	0.23	0.47
57604	6.3169	6.3356	0.0187	0.0187	0.68	0.82
57605	6.8977	6.8778	-0.0199	-0.0199	0.53	0.72
57606	8.84	9.248	0.408	0.408	0.0055	0.18
57608	7.364	7.3229	-0.0412	-0.0412	0.61	0.78
57609	7.0211	7.2029	0.1818	0.1818	0.054	0.25
57610	7.7861	7.7317	-0.0545	-0.0545	0.24	0.47
57611	6.4327	6.4261	-0.0066	-0.0066	0.85	0.92
57613	6.63	6.6759	0.0458	0.0458	0.29	0.52
57614	6.8351	6.9493	0.1142	0.1142	0.12	0.34
57615	6.0319	6.0573	0.0253	0.0253	0.38	0.61
57616	7.8542	7.7314	-0.1228	-0.1228	0.05	0.24
57617	7.2668	7.2904	0.0237	0.0237	0.76	0.87
57619	6.4114	6.3677	-0.0436	-0.0436	0.18	0.41
57620	7.0301	7.0981	0.0679	0.0679	0.22	0.46
57621	7.2036	7.2295	0.0259	0.0259	0.48	0.69
57622	6.8273	6.7605	-0.0668	-0.0668	0.15	0.38
57623	6.8024	6.8308	0.0283	0.0283	0.53	0.73
57624	6.3107	6.3828	0.0721	0.0721	0.43	0.65
57626	6.0445	6.0528	0.0083	0.0083	0.77	0.88
57628	6.0741	6.0473	-0.0268	-0.0268	0.39	0.61
57630	7.0494	7.1803	0.1308	0.1308	0.13	0.35
57631	6.1718	6.2265	0.0547	0.0547	0.18	0.41
57633	7.1908	7.2161	0.0253	0.0253	0.8	0.9
57634	7.2503	7.262	0.0117	0.0117	0.8	0.9
57636	7.2826	7.2545	-0.0281	-0.0281	0.67	0.82
57639	6.0702	6.1249	0.0547	0.0547	0.2	0.43
57642	7.5145	7.3152	-0.1992	-0.1992	0.0095	0.19
57643	6.8945	6.8672	-0.0273	-0.0273	0.56	0.75
57644	7.4326	7.2784	-0.1542	-0.1542	0.19	0.42
57645	6.9637	7.0423	0.0786	0.0786	0.09	0.3
57646	8.1726	8.4434	0.2708	0.2708	0.068	0.27
57647	7.3033	7.3096	0.0063	0.0063	0.91	0.96
57648	7.1467	7.0369	-0.1098	-0.1098	0.022	0.2
57649	7.3266	7.3704	0.0438	0.0438	0.56	0.75
57650	6.018	6.0208	0.0028	0.0028	0.94	0.97
57653	6.4674	6.4443	-0.0231	-0.0231	0.27	0.5
57654	7.144	7.0836	-0.0604	-0.0604	0.092	0.3
57655	7.7606	7.758	-0.0026	-0.0026	0.96	0.98
57657	7.0908	7.0336	-0.0572	-0.0572	0.21	0.45
57658	8.2196	8.1296	-0.09	-0.09	0.52	0.72
57659	7.1709	7.2105	0.0397	0.0397	0.25	0.48
57661	7.3724	7.3024	-0.07	-0.07	0.16	0.39
57662	7.2055	7.0956	-0.11	-0.11	0.033	0.22
57663	6.0724	6.018	-0.0544	-0.0544	0.24	0.48
57664	7.1021	7.0606	-0.0415	-0.0415	0.2	0.44
57665	7.9637	8.0549	0.0912	0.0912	0.13	0.35
57666	7.8847	7.7395	-0.1452	-0.1452	0.03	0.22
57669	7.0897	7.2374	0.1477	0.1477	0.14	0.37
57670	6.8372	6.9366	0.0994	0.0994	0.32	0.55
57673	6.7468	6.7455	-0.0012	-0.0012	0.97	0.99
57674	7.219	7.2342	0.0152	0.0152	0.86	0.93
57677	6.1711	6.1503	-0.0208	-0.0208	0.57	0.75
57678	7.312	7.4163	0.1043	0.1043	0.6	0.77
57679	7.0493	7.2703	0.2211	0.2211	0.035	0.22
57680	6.9408	7.1127	0.1719	0.1719	0.074	0.28
57683	6.8038	6.9427	0.1389	0.1389	0.15	0.37
57684	6.9848	6.9183	-0.0666	-0.0666	0.23	0.47
57685	6.9125	6.9563	0.0438	0.0438	0.48	0.68
57687	6.704	6.6715	-0.0325	-0.0325	0.31	0.55
57688	6.8976	6.9783	0.0807	0.0807	0.25	0.49
57689	6.0632	6.1143	0.0511	0.0511	0.18	0.41
57690	7.4039	7.3212	-0.0827	-0.0827	0.11	0.32
57691	7.1789	7.1924	0.0135	0.0135	0.84	0.92
57692	6.7977	6.6545	-0.1431	-0.1431	0.0043	0.18
57693	6.7896	6.9158	0.1263	0.1263	0.066	0.26
57695	6.653	6.9249	0.2719	0.2719	0.006	0.18
57696	6.5365	6.6047	0.0682	0.0682	0.19	0.42
57697	6.1677	6.2176	0.0499	0.0499	0.34	0.57
57698	6.1747	6.2184	0.0437	0.0437	0.33	0.56
57699	6.781	6.7326	-0.0484	-0.0484	0.13	0.35
57700	7.1874	7.3382	0.1508	0.1508	0.16	0.39
57701	7.0418	6.9972	-0.0446	-0.0446	0.22	0.45
57703	6.7328	7.0472	0.3144	0.3144	0.0055	0.18
57704	7.4525	7.6651	0.2125	0.2125	0.014	0.19
57705	6.5453	6.5174	-0.0279	-0.0279	0.3	0.53
57706	7.1224	7.2873	0.1649	0.1649	0.034	0.22
57707	6.9342	6.873	-0.0612	-0.0612	0.046	0.24
57708	7.1055	7.241	0.1355	0.1355	0.027	0.21
57709	6.5866	6.5324	-0.0542	-0.0542	0.098	0.31
57710	7.4432	7.2655	-0.1777	-0.1777	0.024	0.2
57711	6.4577	6.5743	0.1165	0.1165	0.014	0.19
57713	6.8426	6.8854	0.0427	0.0427	0.56	0.75
57715	6.6311	6.5851	-0.0461	-0.0461	0.12	0.34
57716	7.632	7.4154	-0.2165	-0.2165	0.0064	0.18
57717	6.3581	6.4367	0.0786	0.0786	0.098	0.31
57718	6.1157	6.1368	0.021	0.021	0.66	0.81
57719	7.198	7.2055	0.0075	0.0075	0.87	0.93
57720	7.2743	7.4223	0.148	0.148	0.11	0.32
57721	6.798	7.0108	0.2128	0.2128	0.02	0.2
57722	7.4981	7.3977	-0.1005	-0.1005	0.24	0.48
57724	7.2171	7.3549	0.1378	0.1378	0.21	0.45
57727	7.584	7.5645	-0.0195	-0.0195	0.71	0.84
57728	6.2757	6.349	0.0732	0.0732	0.12	0.34
57730	6.2679	6.3022	0.0344	0.0344	0.57	0.75
57731	7.1947	7.1136	-0.0811	-0.0811	0.072	0.27
57732	6.8645	6.7922	-0.0723	-0.0723	0.029	0.21
57733	6.3377	6.3561	0.0183	0.0183	0.53	0.73
57758	6.9687	7.0156	0.0469	0.0469	0.79	0.89
57761	7.1635	7.2671	0.1036	0.1036	0.43	0.64
57763	6.3812	6.5423	0.1611	0.1611	0.043	0.23
57786	7.1656	7.2542	0.0887	0.0887	0.1	0.32
57787	7.2114	7.26	0.0486	0.0486	0.29	0.53
57794	7.1181	7.1906	0.0726	0.0726	0.18	0.42
57795	6.9021	6.8719	-0.0302	-0.0302	0.41	0.63
57798	7.7619	7.7003	-0.0616	-0.0616	0.33	0.56
57799	7.9331	7.7895	-0.1436	-0.1436	0.072	0.27
57801	8.3475	8.0844	-0.263	-0.263	0.055	0.25
57804	7.8839	7.8036	-0.0803	-0.0803	0.28	0.51
57805	7.5497	7.5657	0.0159	0.0159	0.74	0.86
57817	6.9979	6.8638	-0.1341	-0.1341	0.0058	0.18
57818	6.3523	6.3097	-0.0426	-0.0426	0.15	0.38
57820	6.6559	6.7637	0.1078	0.1078	0.029	0.21
57821	6.181	6.1345	-0.0465	-0.0465	0.16	0.39
57822	6.6826	6.6045	-0.078	-0.078	0.031	0.22
57823	6.3096	6.2882	-0.0214	-0.0214	0.62	0.78
57824	6.9287	6.8133	-0.1154	-0.1154	0.064	0.26
57826	7.4264	7.524	0.0976	0.0976	0.032	0.22
57828	6.6003	6.5667	-0.0336	-0.0336	0.38	0.61
57829	6.3677	6.3026	-0.0651	-0.0651	0.045	0.24
57830	7.2335	7.0327	-0.2009	-0.2009	0.015	0.2
57834	6.2762	6.2246	-0.0516	-0.0516	0.089	0.3
57835	6.6434	6.5503	-0.0931	-0.0931	0.0045	0.18
57862	6.5246	6.8169	0.2923	0.2923	0.012	0.19
57863	7.256	7.1304	-0.1256	-0.1256	0.026	0.21
57864	6.6463	6.5852	-0.061	-0.061	0.081	0.29
58155	7.4499	7.5804	0.1305	0.1305	0.2	0.43
58157	7.0212	6.8835	-0.1377	-0.1377	0.0093	0.19
58158	6.1279	6.1149	-0.013	-0.013	0.73	0.86
58189	6.8962	6.8636	-0.0325	-0.0325	0.44	0.65
58190	8.1716	8.1001	-0.0715	-0.0715	0.3	0.53
58191	6.4774	6.5011	0.0237	0.0237	0.71	0.84
58472	7.5581	7.8808	0.3228	0.3228	0.06	0.26
58473	7.2191	7.1909	-0.0282	-0.0282	0.64	0.8
58475	6.2976	6.3457	0.048	0.048	0.31	0.54
58476	7.8175	7.7807	-0.0368	-0.0368	0.75	0.87
58477	7.0714	7.3484	0.2769	0.2769	0.013	0.19
58478	7.3251	7.5286	0.2035	0.2035	0.013	0.19
58480	8.1071	8.0299	-0.0773	-0.0773	0.3	0.53
58483	5.9504	5.8992	-0.0511	-0.0511	0.37	0.6
58484	6.1447	6.1351	-0.0095	-0.0095	0.71	0.84
58485	8.2312	8.0917	-0.1396	-0.1396	0.13	0.35
58486	6.9443	7.017	0.0727	0.0727	0.25	0.49
58487	7.2068	7.2129	0.0061	0.0061	0.94	0.97
58488	6.9208	7.0638	0.1429	0.1429	0.03	0.22
58489	8.0909	7.9257	-0.1652	-0.1652	0.14	0.36
58490	8.229	8.2381	0.0091	0.0091	0.91	0.96
58491	7.4322	7.3247	-0.1074	-0.1074	0.076	0.28
58492	6.7662	6.7933	0.0271	0.0271	0.57	0.76
58493	6.917	7.1434	0.2263	0.2263	0.026	0.21
58494	7.3535	7.2207	-0.1328	-0.1328	0.32	0.55
58495	7.209	7.0582	-0.1509	-0.1509	0.027	0.21
58497	7.6113	7.6977	0.0864	0.0864	0.42	0.64
58498	6.792	6.7182	-0.0738	-0.0738	0.13	0.35
58499	7.949	7.8273	-0.1217	-0.1217	0.36	0.59
58500	6.7281	6.8252	0.097	0.097	0.37	0.6
58503	6.0676	5.9801	-0.0876	-0.0876	0.032	0.22
58504	6.6034	6.5971	-0.0062	-0.0062	0.82	0.91
58505	7.7622	8.0019	0.2398	0.2398	0.092	0.3
58506	7.1731	7.1366	-0.0365	-0.0365	0.3	0.53
58508	7.8643	8.0334	0.1691	0.1691	0.14	0.36
58509	7.2861	7.226	-0.0601	-0.0601	0.1	0.32
58510	6.6833	6.6273	-0.056	-0.056	0.12	0.34
58511	6.1795	6.1906	0.0111	0.0111	0.77	0.88
58512	7.0237	6.971	-0.0528	-0.0528	0.25	0.49
58513	8.1198	8.3466	0.2268	0.2268	0.11	0.33
58515	8.2593	8.1926	-0.0667	-0.0667	0.51	0.71
58516	6.1916	6.2679	0.0762	0.0762	0.37	0.6
58517	7.3895	7.5602	0.1707	0.1707	0.036	0.22
58524	6.8643	6.8924	0.028	0.028	0.58	0.76
58525	7.3798	7.308	-0.0718	-0.0718	0.13	0.35
58526	7.4616	7.533	0.0715	0.0715	0.41	0.63
58527	6.2967	6.3714	0.0747	0.0747	0.13	0.35
58528	8.562	9.0173	0.4553	0.4553	0.0054	0.18
58529	10.8592	10.3393	-0.5199	-0.5199	0.046	0.24
58531	7.482	7.294	-0.188	-0.188	0.0085	0.19
58533	7.6792	7.9075	0.2283	0.2283	0.04	0.23
58538	6.4858	6.3854	-0.1004	-0.1004	0.018	0.2
58985	6.8729	6.7515	-0.1214	-0.1214	0.005	0.18
58986	7.4249	7.5381	0.1132	0.1132	0.22	0.45
59067	6.0881	6.0538	-0.0343	-0.0343	0.36	0.59
59082	6.2168	6.1886	-0.0282	-0.0282	0.6	0.78
59084	6.4672	6.7213	0.2541	0.2541	0.095	0.31
59269	6.6483	6.5672	-0.0811	-0.0811	0.018	0.2
59271	6.8431	6.9302	0.0872	0.0872	0.3	0.53
59272	6.0057	5.983	-0.0228	-0.0228	0.37	0.59
59274	7.376	7.296	-0.0799	-0.0799	0.13	0.35
59277	7.5384	7.404	-0.1345	-0.1345	0.096	0.31
59283	7.4956	7.3541	-0.1415	-0.1415	0.071	0.27
59284	6.8331	6.7967	-0.0364	-0.0364	0.51	0.71
59285	8.5202	8.3316	-0.1886	-0.1886	0.23	0.46
59286	8.0184	7.9226	-0.0958	-0.0958	0.24	0.48
59307	7.5074	7.3423	-0.1651	-0.1651	0.049	0.24
59335	7.1293	7.0744	-0.0549	-0.0549	0.3	0.54
59336	7.2413	7.1406	-0.1007	-0.1007	0.11	0.32
59338	7.0865	7.4188	0.3324	0.3324	0.042	0.23
59339	7.251	7.2395	-0.0116	-0.0116	0.9	0.95
59340	5.8493	5.8823	0.033	0.033	0.24	0.48
59341	6.833	6.7743	-0.0587	-0.0587	0.064	0.26
59342	7.2666	7.2636	-0.0031	-0.0031	0.98	0.99
59343	7.0243	7.24	0.2156	0.2156	0.089	0.3
59344	6.568	6.5428	-0.0253	-0.0253	0.42	0.64
59345	6.7139	6.8124	0.0984	0.0984	0.2	0.44
59348	6.28	6.3739	0.0939	0.0939	0.057	0.25
59349	7.4122	7.4595	0.0473	0.0473	0.43	0.65
59350	5.9123	5.901	-0.0113	-0.0113	0.71	0.84
59351	6.1752	6.0851	-0.0901	-0.0901	0.086	0.29
59352	6.7381	6.6553	-0.0827	-0.0827	0.015	0.2
